,ListingKey,ListingNumber,ListingCreationDate,CreditGrade,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,GroupKey,DateCreditPulled,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,LoanKey,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationDate,LoanOriginationQuarter,MemberKey,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors,LoanOriginationQuarterNew
104303,6250339228480490495E1FF,149040,2007-06-08 12:00:51.700,D,36,Completed,2009-11-13 00:00:00,0.16215,0.155,0.145,,,,,,,4,MN,Accountant/CPA,Full-time,46.0,False,False,,2008-05-03 10:28:32.473000000,600.0,619.0,1995-12-01 00:00:00,3.0,3.0,19.0,2,32.0,1.0,3.0,0.0,0.0,12.0,0.0,0.0,1840.0,1.08,0.0,15.0,0.53,1.0,0.4,"$25,000-49,999",True,3583.333333,4D7B34206207890664C6099,,,,,,,,,0,,70,31010,6000,2008-05-13 00:00:00.000,Q2 2008,6A573378510014784FC55EC,209.46,7114.76,6000.0,1114.76,-71.92,0.0,0.0,0.0,0.0,1.0,0,0,0.0,118,
104387,B15E3394738267023A4D9E7,166319,2007-07-09 18:44:01.103,E,36,Completed,2010-03-16 00:00:00,0.35002,0.34,0.33,,,,,,,7,GA,Analyst,Full-time,3.0,False,True,D2403364679970166D9EC3B,2008-04-24 08:41:10.540000000,560.0,579.0,1991-05-28 00:00:00,3.0,3.0,39.0,1,20.0,0.0,4.0,11.0,15024.0,41.0,0.0,0.0,326.0,0.72,124.0,19.0,0.37,0.0,0.14,"$50,000-74,999",True,5083.333333,2CB73420458508476AC6A02,,,,,,,,,0,,70,30774,2000,2008-05-08 00:00:00.000,Q2 2008,994A3391631155186032312,89.34,2989.13,2000.0,989.13,-29.09,0.0,0.0,0.0,0.0,1.0,0,0,0.0,34,
102019,C03F3394055109818F7796F,171553,2007-07-18 08:01:05.307,AA,36,Completed,2009-01-15 00:00:00,0.1021,0.0952,0.0952,,,,,,,2,VA,Analyst,Full-time,34.0,True,False,,2008-01-08 18:30:14.277000000,780.0,799.0,1990-05-01 00:00:00,13.0,11.0,30.0,8,175.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,6751.0,0.27,18036.0,26.0,0.88,4.0,0.14,"$100,000+",True,8583.25,E58F34116264515408792BB,,,,,,,,,0,,73,27167,15000,2008-02-06 00:00:00.000,Q1 2008,175D339099671233285D3A9,480.63,16173.33,15000.0,1173.33,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,347,
21400,9D693395108167982048FC3,177793,2007-07-28 14:21:53.250,B,36,Chargedoff,2010-10-30 00:00:00,0.29775999999999997,0.29,0.28,,,,,,,4,CA,Other,Full-time,35.0,True,True,FEF83377364176536637E50,2008-04-20 12:07:20.943000000,680.0,699.0,1995-06-19 00:00:00,4.0,3.0,25.0,2,146.0,0.0,8.0,1.0,7306.0,16.0,0.0,0.0,4648.0,0.91,452.0,21.0,0.61,0.0,0.78,"$1-24,999",True,700.0,58BB3419371127563A2F0A4,,,,,,,,,1349,30.0,71,30368,7500,2008-04-30 00:00:00.000,Q2 2008,AF3A338333612941617C89E,314.29,7812.25,4403.49,3408.76,-117.0,-81.0,3096.52,3096.51,285.0,1.0,1,0,0.0,86,
76023,4C563395722672463A39AF8,183794,2007-08-08 10:28:07.080,AA,36,Completed,2009-09-21 00:00:00,0.06576,0.059,0.049,,,,,,,3,OH,Doctor,Full-time,23.0,True,True,3B17336507183300287AC25,2008-06-10 07:53:47.050000000,800.0,819.0,1976-09-18 00:00:00,8.0,8.0,27.0,5,62.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2553.0,0.07,29447.0,22.0,0.77,0.0,0.13,"$50,000-74,999",True,4166.666667,9313342320670659121CD7B,,,,,,,,,0,,69,33209,3000,2008-06-23 00:00:00.000,Q2 2008,0A903366281254768A869FB,91.13,3177.36,3000.0,177.36,-30.06,0.0,0.0,0.0,0.0,1.0,0,0,0.0,97,
6039,2EE93397643606830B9F216,184211,2007-08-08 21:55:52.123,AA,36,Completed,2009-09-24 00:00:00,0.11002999999999999,0.1031,0.1031,,,,,,,3,CA,Engineer - Mechanical,Full-time,248.0,True,True,87C533688570968457A5F57,2007-12-12 22:26:39.867000000,780.0,799.0,1988-08-01 00:00:00,8.0,8.0,19.0,7,1787.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,298813.0,0.8,73087.0,16.0,1.0,0.0,0.15,"$75,000-99,999",True,7500.0,09623409191640281F0705B,,,,,,,,,0,,75,24103,25000,2007-12-27 00:00:00.000,Q4 2007,36223396322879060EB66E6,810.32,28372.47,25000.0,3372.47,0.0,0.0,0.0,0.0,0.0,1.0,0,1,520.03,584,
41592,A0143398512786450F12355,188569,2007-08-16 21:30:54.920,B,36,Completed,2011-08-03 00:00:00,0.18992,0.18,0.17,,,,,,,3,TN,Postal Service,Part-time,61.0,True,False,,2008-09-25 00:02:01.383000000,680.0,699.0,2004-12-14 00:00:00,5.0,5.0,8.0,4,249.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11339.0,0.73,4111.0,7.0,1.0,0.0,0.27,"$1-24,999",True,1666.666667,8D3434331624540185DBBAB,,,,,,,,,0,,65,37394,5500,2008-10-03 00:00:00.000,Q4 2008,C5E3339840819671851163D,198.84,6988.62,5499.98,1488.64,-82.73,0.0,0.0,0.0,0.0,1.0,0,0,0.0,115,
61413,208C339871631929439F1C3,190364,2007-08-20 22:34:16.557,AA,36,Completed,2009-06-19 00:00:00,0.10642,0.0995,0.0995,,,,,,,4,CA,Sales - Commission,Full-time,104.0,True,False,,2007-12-15 10:14:47.340000000,820.0,839.0,1986-12-05 00:00:00,18.0,17.0,51.0,14,306.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,10472.0,0.13,65493.0,50.0,1.0,0.0,0.15,"$100,000+",True,8750.0,D97F34089531260743A6F0E,,,,,,,,,0,,75,24036,11500,2007-12-26 00:00:00.000,Q4 2007,E7F43371384664633EA367B,370.8,12716.65,11500.0,1216.65,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,294,
22124,FA903397590874070AD7DD5,192153,2007-08-24 04:32:17.540,C,36,Completed,2010-02-17 00:00:00,0.14536,0.1365,0.1265,,,,,,,3,IN,Professional,Full-time,36.0,True,False,,2008-01-11 01:41:01.880000000,640.0,659.0,2005-09-07 00:00:00,5.0,5.0,5.0,0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.04,"$50,000-74,999",True,4583.333333,AFED3410749470319441F43,,,,,,,,,0,,74,25579,2000,2008-01-17 00:00:00.000,Q1 2008,83983397129465093F0143C,68.02,2278.53,2000.0,278.53,-20.41,0.0,0.0,0.0,0.0,1.0,0,0,0.0,77,
47502,1B6934018059331309C6CAF,207489,2007-09-26 20:57:18.683,AA,36,Completed,2008-10-05 00:00:00,0.08634,0.0795,0.0795,,,,,,,4,WY,Military Officer,Full-time,211.0,False,True,39913364674640799613367,2008-01-23 19:58:29.980000000,780.0,799.0,1993-03-12 00:00:00,4.0,4.0,7.0,4,151.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7095.0,0.32,14815.0,6.0,1.0,0.0,0.04,"$75,000-99,999",True,7170.083333,F9783412351756924C4D629,,,,,,,,,0,,73,27123,5000,2008-02-05 00:00:00.000,Q1 2008,F43B33983729287165CADD6,156.57,5184.31,5000.0,184.31,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,156,
